handle,title,vendor,category,price,compare_at_price,sku,gtin,google_product_category,image_count,primary_image,source_url
duromax-xp13000hxt-13000-watt-electric-start-tri-fuel-portable-generator-w-co-alert,"DuroMax XP13000HXT 13,000 Watt Electric Start Tri-Fuel Portable Generator w/ CO Alert",DuroMax,Portable Generators,899.00,1060.82,LF-5319,811640016470,Hardware > Generators > Portable Generators,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-38-image-1.png,https://laitm.com/product/duromax-xp13000hxt-13000-watt-electric-start-tri-fuel-portable-generator-w-co-alert/
lifetime-15-x-8-shed-side-entry,Lifetime 15′ x 8′ Shed (Side Entry),Lifetime,Garden Essentials,899.00,1060.82,LF-5321,081483001098,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-40-image-1.png,https://laitm.com/product/lifetime-15%e2%80%b2-x-8%e2%80%b2-shed-side-entry/
gorilla-playsets-mountaineer-treehouse-wooden-swing-set-with-tube-slide-rope-ladder-and-sandbox,"Gorilla Playsets Mountaineer Treehouse Wooden Swing Set with Tube Slide, Rope Ladder, and Sandbox",Gorilla Playsets,Garden Essentials,899.00,1060.82,LF-5326,870780002385,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-45-image-1.png,https://laitm.com/product/gorilla-playsets-mountaineer-treehouse-wooden-swing-set-with-tube-slide-rope-ladder-and-sandbox/
backyard-discovery-14-x-10-somerville-pergola-w-electric-dark-walnut-diy,Backyard Discovery 14' X 10' Somerville Pergola W/ Electric - Dark Walnut DIY,Backyard Discovery,Garden Essentials,799.00,942.82,LF-5555,752113006546,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-154-image-1.jpg,https://laitm.com/product/backyard-discovery-14-x-10-somerville-pergola-w-electric-dark-walnut-diy/
backyard-discovery-woodridge-elite-swing-set,Backyard Discovery Woodridge Elite Swing Set,Backyard Discovery,Garden Essentials,799.00,942.82,LF-5330,752113881082,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-49-image-1.png,https://laitm.com/product/backyard-discovery-woodridge-elite-swing-set/
backyard-discovery-callahan-cedar-wood-outdoor-pergola-swing-bench,Backyard Discovery Callahan Cedar Wood Outdoor Pergola Swing Bench,Backyard Discovery,Garden Essentials,1129.00,1332.22,LF-5493,752113305106,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-122-image-1.png,https://laitm.com/product/backyard-discovery-callahan-cedar-wood-outdoor-pergola-swing-bench/
anker-solix-f3800-portable-power-station,ANKER SOLIX F3800 PORTABLE POWER STATION,Anker,Portable Generators,799.00,942.82,LF-5394,194644192303,Hardware > Generators > Portable Generators,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-83-image-1.png,https://laitm.com/product/anker-solix-f3800-portable-power-station/
16-ft-x-16-ft-pacific-douglas-fir-wood-traditional-pergola,16 Ft. X 16 Ft. Pacific Douglas Fir Wood Traditional Pergola,Leafanoo,Garden Essentials,5599.00,6606.82,LF-5556,708296000239,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-155-image-1.jpg,https://laitm.com/product/16-ft-x-16-ft-pacific-douglas-fir-wood-traditional-pergola/
zline-36-in-professional-dual-fuel-range-fingerprint-resistant-stainless-steel,ZLINE 36 in. Professional Dual Fuel Range – Fingerprint Resistant Stainless Steel,ZLINE,Home Deals,699.00,824.82,LF-9263,48834010846800,Home & Garden,5,https://laitm.com/wp-content/uploads/2026/08/ltm-product-19-image-1.png,https://laitm.com/product/zline-36-in-professional-dual-fuel-range-fingerprint-resistant-stainless-steel/
westinghouse-28000-peak-watt-home-backup-portable-generator,"Westinghouse 28,000 Peak Watt Home Backup Portable Generator",Westinghouse,Portable Generators,899.00,1060.82,LF-5282,0850011336601,Hardware > Generators > Portable Generators,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-30-image-1.png,https://laitm.com/product/westinghouse-28000-peak-watt-home-backup-portable-generator/
mesa-safe-company-gun-safe-22-9-cu-ft-electronic-lock,"Mesa Safe Company Gun Safe 22.9 cu ft, Electronic Lock",Mesa Safe Company,Home Deals,699.00,824.82,LF-9261,8179320154280,Home & Garden,3,https://laitm.com/wp-content/uploads/2026/08/ltm-product-17-image-1.png,https://laitm.com/product/mesa-safe-company-gun-safe-22-9-cu-ft-electronic-lock/
cub-cadet-ultima-zt1-54-24hp-kohler-zero-turn-mower-54,"Cub Cadet Ultima ZT1 54 – 24HP Kohler Zero Turn Mower (54"")",Cub Cadet,Ride Mowers,799.00,942.82,LF-5268,00043033593576,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-16-image-1.png,https://laitm.com/product/cub-cadet-ultima-zt1-54-24hp-kohler-zero-turn-mower-54/
genmax-portable-inverter-generator-11000w-tri-fuel,GENMAX PORTABLE INVERTER GENERATOR 11000W TRI-FUEL,Genmax,Power Generators,699.00,824.82,LF-9312,7423326508420,Hardware > Generators > Portable Generators,8,https://laitm.com/wp-content/uploads/2026/08/ltm-product-39-image-1.png,https://laitm.com/product/genmax-portable-inverter-generator-11000w-tri-fuel/
generac-8251-gp2500i-2-inverter-generator-with-cosense,GENERAC 8251 GP2500i-2 INVERTER GENERATOR WITH COSENSE,Generac,Power Generators,699.00,824.82,LF-9310,6964710999420,Hardware > Generators > Portable Generators,10,https://laitm.com/wp-content/uploads/2026/08/ltm-product-37-image-1.png,https://laitm.com/product/generac-8251-gp2500i-2-inverter-generator-with-cosense/
ego-power-nexus-power-station-120-v-3000-w-3-outlets-power-inverter,EGO Power+ Nexus Power Station 120 V 3000 W 3 outlets Power Inverter,EGO Power+,Power Generators,699.00,824.82,LF-9309,,Hardware > Generators > Portable Generators,7,https://laitm.com/wp-content/uploads/2026/08/ltm-product-36-image-1.png,https://laitm.com/product/ego-power-nexus-power-station-120-v-3000-w-3-outlets-power-inverter/
ecoflow-delta-2-max-1900-portable-power-station,ECOFLOW DELTA 2 MAX 1900 PORTABLE POWER STATION,EcoFlow,Power Generators,699.00,824.82,LF-9308,8427831314470,Hardware > Generators > Portable Generators,5,https://laitm.com/wp-content/uploads/2026/08/ltm-product-35-image-1.png,https://laitm.com/product/ecoflow-delta-2-max-1900-portable-power-station/
ryobi-48v-42-inch-75-ah-battery-electric-riding-zero-turn-mower,RYOBI 48V 42-inch 75 Ah Battery Electric Riding Zero Turn Mower,Ryobi,Ride Mowers,899.00,1060.82,LF-5278,046396033482,Home & Garden > Lawn & Garden > Outdoor Living,1,https://laitm.com/wp-content/uploads/2026/07/laitmm-product-26-image-1.png,https://laitm.com/product/ryobi-48v-42-inch-75-ah-battery-electric-riding-zero-turn-mower/
generac-7153-gp3300i-portable-inverter-generator,Generac 7153 GP3300i Portable Inverter Generator,Generac,Power Generators,699.00,824.82,LF-9311,6964710579110,Hardware > Generators > Portable Generators,7,https://laitm.com/wp-content/uploads/2026/08/ltm-product-38-image-1.png,https://laitm.com/product/generac-7153-gp3300i-portable-inverter-generator/
predator-3500-watt-dual-fuel-super-quiet-inverter-generator,PREDATOR 3500 Watt Dual-Fuel SUPER QUIET Inverter Generator,Predator,Power Generators,699.00,824.82,LF-9314,1931754580010,Hardware > Generators > Portable Generators,4,https://laitm.com/wp-content/uploads/2026/08/ltm-product-41-image-1.png,https://laitm.com/product/predator-3500-watt-dual-fuel-super-quiet-inverter-generator/
9-5-heavy-duty-outdoor-porch-swing-set,9.5′ Heavy-Duty Outdoor Porch Swing Set,Leafanoo,Swing sets,699.00,824.82,LF-9329,8182002602810,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,10,https://laitm.com/wp-content/uploads/2026/08/ltm-product-56-image-1.png,https://laitm.com/product/9-5%e2%80%b2-heavy-duty-outdoor-porch-swing-set/
westinghouse-igen1000s-portable-power-station,WESTINGHOUSE iGEN1000S PORTABLE POWER STATION,Westinghouse,Power Generators,699.00,824.82,LF-9316,8500113366250,Hardware > Generators > Portable Generators,11,https://laitm.com/wp-content/uploads/2026/08/ltm-product-43-image-1.png,https://laitm.com/product/westinghouse-igen1000s-portable-power-station/
yard-force-portable-power-station-2400-watt-continuous-4800-watt-peak-bluetooth-speaker-wifi-connection-wireless-charging-rv-30a-plug-led-light,"Yard Force Portable Power Station 2400-Watt Continuous 4800-Watt Peak, Bluetooth speaker, WIFI connection, Wireless Charging, RV 30A plug, LED light",Yard Force,Power Generators,699.00,824.82,LF-9317,69395007359800,Hardware > Generators > Portable Generators,6,https://laitm.com/wp-content/uploads/2026/08/ltm-product-44-image-1.png,https://laitm.com/product/yard-force-portable-power-station-2400-watt-continuous-4800-watt-peak-bluetooth-speaker-wifi-connection-wireless-charging-rv-30a-plug-led-light/
klo-kick-metal-swing-set-with-3-swings,Klo Kick Metal Swing Set with 3 Swings,Klo Kick,Swing sets,699.00,824.82,LF-9333,84624256248580,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,6,https://laitm.com/wp-content/uploads/2026/08/ltm-product-60-image-1.png,https://laitm.com/product/klo-kick-metal-swing-set-with-3-swings/
shelterlogic-15-x-28-x-12-round-top-shelter,ShelterLogic 15 x 28 x 12 Round Top Shelter,ShelterLogic,Sheds,699.00,824.82,LF-9326,7818802861720,"Home & Garden > Lawn & Garden > Outdoor Living > Outdoor Structures > Sheds, Garages & Carports",5,https://laitm.com/wp-content/uploads/2026/08/ltm-product-53-image-1.png,https://laitm.com/product/shelterlogic-15-x-28-x-12-round-top-shelter/
440lbs-extra-large-metal-swing-frame-with-5-hanging-hooks-heavy-duty-a-frame-swing-stand,"440lbs Extra Large Metal Swing Frame with 5 Hanging Hooks, Heavy Duty A-Frame Swing Stand",Leafanoo,Swing sets,899.00,1060.82,LF-9330,91054590317190,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,7,https://laitm.com/wp-content/uploads/2026/08/ltm-product-57-image-1.png,https://laitm.com/product/440lbs-extra-large-metal-swing-frame-with-5-hanging-hooks-heavy-duty-a-frame-swing-stand/
lifetime-climb-slide-playset-ultimate-backyard-fun-for-kids,Lifetime Climb &amp;amp; Slide Playset – Ultimate Backyard Fun for Kids,Lifetime,Swing sets,699.00,824.82,LF-9363,6328293035900,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,9,https://laitm.com/wp-content/uploads/2026/08/ltm-product-61-image-1.png,https://laitm.com/product/lifetime-climb-slide-playset-ultimate-backyard-fun-for-kids/
