Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Status
oxo-stainless-steel-precision-food-scale-with-pull-out-display-11-lb,OXO Stainless Steel Precision Food Scale with Pull-Out Display 11 lb,"<p>The <strong>OXO Stainless Steel Precision Food Scale with Pull-Out Display 11 lb</strong> from <strong>OXO</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> OXO</li><li><strong>Model / MPN:</strong> 11214800</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Kitchen Scales</li><li><strong>Authentic GTIN / UPC:</strong> 0719812685786</li></ul>",OXO,Home & Kitchen,"Home & Kitchen, Kitchen Scales, OXO, verified-catalog",TRUE,Title,Default Title,,,,,OXO-112148-1011,450,shopify,50,deny,manual,54.99,63.24,TRUE,TRUE,,,,OXO Stainless Steel Precision Food Scale with Pull-Out Display 11 lb | OXO &ndash; Leafanoo,"Buy authentic OXO Stainless Steel Precision Food Scale with Pull-Out Display 11 lb by OXO at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,11214800,new,active
simplehuman-brushed-stainless-steel-compact-dish-drying-rack,Simplehuman Brushed Stainless Steel Compact Dish Drying Rack,"<p>The <strong>Simplehuman Brushed Stainless Steel Compact Dish Drying Rack</strong> from <strong>Simplehuman</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Simplehuman</li><li><strong>Model / MPN:</strong> KT1107</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Dish Racks</li><li><strong>Authentic GTIN / UPC:</strong> 0838810006765</li></ul>",Simplehuman,Home & Kitchen,"Home & Kitchen, Dish Racks, Simplehuman, verified-catalog",TRUE,Title,Default Title,,,,,SIM-KT1107-1012,450,shopify,50,deny,manual,89.99,103.49,TRUE,TRUE,,,,Simplehuman Brushed Stainless Steel Compact Dish Drying Rack | Simplehuman &ndash; Leafanoo,"Buy authentic Simplehuman Brushed Stainless Steel Compact Dish Drying Rack by Simplehuman at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,KT1107,new,active
full-circle-bubble-up-ceramic-soap-dispenser-and-bamboo-dish-brush,Full Circle Bubble Up Ceramic Soap Dispenser and Bamboo Dish Brush,"<p>The <strong>Full Circle Bubble Up Ceramic Soap Dispenser and Bamboo Dish Brush</strong> from <strong>Full Circle</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Full Circle</li><li><strong>Model / MPN:</strong> FC14123</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Cleaning Supplies</li><li><strong>Authentic GTIN / UPC:</strong> 0810119020468</li></ul>",Full Circle,Home & Kitchen,"Home & Kitchen, Cleaning Supplies, Full Circle, verified-catalog",TRUE,Title,Default Title,,,,,FUL-FC1412-1013,450,shopify,50,deny,manual,14.99,17.24,TRUE,TRUE,,,,Full Circle Bubble Up Ceramic Soap Dispenser and Bamboo Dish Brush | Full Circle &ndash; Leafanoo,"Buy authentic Full Circle Bubble Up Ceramic Soap Dispenser and Bamboo Dish Brush by Full Circle at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,FC14123,new,active
stasher-platinum-silicone-reusable-food-storage-bag-sandwich-size,Stasher Platinum Silicone Reusable Food Storage Bag Sandwich Size,"<p>The <strong>Stasher Platinum Silicone Reusable Food Storage Bag Sandwich Size</strong> from <strong>Stasher</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Stasher</li><li><strong>Model / MPN:</strong> STSB00</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Food Storage</li><li><strong>Authentic GTIN / UPC:</strong> 0816990020016</li></ul>",Stasher,Home & Kitchen,"Home & Kitchen, Food Storage, Stasher, verified-catalog",TRUE,Title,Default Title,,,,,STA-STSB00-1014,450,shopify,50,deny,manual,12.99,14.94,TRUE,TRUE,,,,Stasher Platinum Silicone Reusable Food Storage Bag Sandwich Size | Stasher &ndash; Leafanoo,"Buy authentic Stasher Platinum Silicone Reusable Food Storage Bag Sandwich Size by Stasher at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,STSB00,new,active
aeropress-original-coffee-and-espresso-maker-chamber-and-plunger-kit,AeroPress Original Coffee and Espresso Maker Chamber & Plunger Kit,"<p>The <strong>AeroPress Original Coffee and Espresso Maker Chamber & Plunger Kit</strong> from <strong>AeroPress</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> AeroPress</li><li><strong>Model / MPN:</strong> 80R11</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Coffee Makers</li><li><strong>Authentic GTIN / UPC:</strong> 085276000800</li></ul>",AeroPress,Home & Kitchen,"Home & Kitchen, Coffee Makers, AeroPress, verified-catalog",TRUE,Title,Default Title,,,,,AER-80R11-1015,450,shopify,50,deny,manual,39.95,45.94,TRUE,TRUE,,,,AeroPress Original Coffee and Espresso Maker Chamber & Plunger Kit | AeroPress &ndash; Leafanoo,"Buy authentic AeroPress Original Coffee and Espresso Maker Chamber & Plunger Kit by AeroPress at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,80R11,new,active
cuisinart-boxed-4-sided-stainless-steel-cheese-and-vegetable-grater,Cuisinart Boxed 4-Sided Stainless Steel Cheese & Vegetable Grater,"<p>The <strong>Cuisinart Boxed 4-Sided Stainless Steel Cheese & Vegetable Grater</strong> from <strong>Cuisinart</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Cuisinart</li><li><strong>Model / MPN:</strong> CTG-00-BG</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Graters</li><li><strong>Authentic GTIN / UPC:</strong> 086279038234</li></ul>",Cuisinart,Home & Kitchen,"Home & Kitchen, Graters, Cuisinart, verified-catalog",TRUE,Title,Default Title,,,,,CUI-CTG-00-1016,450,shopify,50,deny,manual,14.99,17.24,TRUE,TRUE,,,,Cuisinart Boxed 4-Sided Stainless Steel Cheese & Vegetable Grater | Cuisinart &ndash; Leafanoo,"Buy authentic Cuisinart Boxed 4-Sided Stainless Steel Cheese & Vegetable Grater by Cuisinart at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,CTG-00-BG,new,active
nordic-ware-natural-aluminum-commercial-half-sheet-baking-pan-2-pack,Nordic Ware Natural Aluminum Commercial Half Sheet Baking Pan 2-Pack,"<p>The <strong>Nordic Ware Natural Aluminum Commercial Half Sheet Baking Pan 2-Pack</strong> from <strong>Nordic Ware</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Nordic Ware</li><li><strong>Model / MPN:</strong> 43172</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Baking Sheets</li><li><strong>Authentic GTIN / UPC:</strong> 011172431728</li></ul>",Nordic Ware,Home & Kitchen,"Home & Kitchen, Baking Sheets, Nordic Ware, verified-catalog",TRUE,Title,Default Title,,,,,NOR-43172-1017,450,shopify,50,deny,manual,27.99,32.19,TRUE,TRUE,,,,Nordic Ware Natural Aluminum Commercial Half Sheet Baking Pan 2-Pack | Nordic Ware &ndash; Leafanoo,"Buy authentic Nordic Ware Natural Aluminum Commercial Half Sheet Baking Pan 2-Pack by Nordic Ware at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,43172,new,active
microplane-premium-classic-series-stainless-steel-fine-zester-grater,Microplane Premium Classic Series Stainless Steel Fine Zester Grater,"<p>The <strong>Microplane Premium Classic Series Stainless Steel Fine Zester Grater</strong> from <strong>Microplane</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Microplane</li><li><strong>Model / MPN:</strong> 46020</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Zesters</li><li><strong>Authentic GTIN / UPC:</strong> 098399460206</li></ul>",Microplane,Home & Kitchen,"Home & Kitchen, Zesters, Microplane, verified-catalog",TRUE,Title,Default Title,,,,,MIC-46020-1018,450,shopify,50,deny,manual,17.99,20.69,TRUE,TRUE,,,,Microplane Premium Classic Series Stainless Steel Fine Zester Grater | Microplane &ndash; Leafanoo,"Buy authentic Microplane Premium Classic Series Stainless Steel Fine Zester Grater by Microplane at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,46020,new,active
hydro-flask-wide-mouth-insulated-stainless-steel-bottle-with-flex-cap-32-oz,Hydro Flask Wide Mouth Insulated Stainless Steel Bottle with Flex Cap 32 oz,"<p>The <strong>Hydro Flask Wide Mouth Insulated Stainless Steel Bottle with Flex Cap 32 oz</strong> from <strong>Hydro Flask</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Hydro Flask</li><li><strong>Model / MPN:</strong> W32TS415</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Water Bottles</li><li><strong>Authentic GTIN / UPC:</strong> 0848604031234</li></ul>",Hydro Flask,Home & Kitchen,"Home & Kitchen, Water Bottles, Hydro Flask, verified-catalog",TRUE,Title,Default Title,,,,,HYD-W32TS4-1019,450,shopify,50,deny,manual,44.95,51.69,TRUE,TRUE,,,,Hydro Flask Wide Mouth Insulated Stainless Steel Bottle with Flex Cap 32 oz | Hydro Flask &ndash; Leafanoo,"Buy authentic Hydro Flask Wide Mouth Insulated Stainless Steel Bottle with Flex Cap 32 oz by Hydro Flask at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,W32TS415,new,active
victorinox-swiss-classic-325-inch-straight-edge-paring-knife,Victorinox Swiss Classic 3.25-Inch Straight Edge Paring Knife,"<p>The <strong>Victorinox Swiss Classic 3.25-Inch Straight Edge Paring Knife</strong> from <strong>Victorinox</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Victorinox</li><li><strong>Model / MPN:</strong> 6.7603</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Kitchen Knives</li><li><strong>Authentic GTIN / UPC:</strong> 0761116069812</li></ul>",Victorinox,Home & Kitchen,"Home & Kitchen, Kitchen Knives, Victorinox, verified-catalog",TRUE,Title,Default Title,,,,,VIC-6.7603-1020,450,shopify,50,deny,manual,9.99,11.49,TRUE,TRUE,,,,Victorinox Swiss Classic 3.25-Inch Straight Edge Paring Knife | Victorinox &ndash; Leafanoo,"Buy authentic Victorinox Swiss Classic 3.25-Inch Straight Edge Paring Knife by Victorinox at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,6.7603,new,active
oxo-good-grips-medium-silicone-spatula-heat-resistant,OXO Good Grips Medium Silicone Spatula Heat Resistant,"<p>The <strong>OXO Good Grips Medium Silicone Spatula Heat Resistant</strong> from <strong>OXO</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> OXO</li><li><strong>Model / MPN:</strong> 11187400</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Spatulas</li><li><strong>Authentic GTIN / UPC:</strong> 0719812687407</li></ul>",OXO,Home & Kitchen,"Home & Kitchen, Spatulas, OXO, verified-catalog",TRUE,Title,Default Title,,,,,OXO-111874-1021,450,shopify,50,deny,manual,10.95,12.59,TRUE,TRUE,,,,OXO Good Grips Medium Silicone Spatula Heat Resistant | OXO &ndash; Leafanoo,"Buy authentic OXO Good Grips Medium Silicone Spatula Heat Resistant by OXO at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,11187400,new,active
bodum-brazil-8-cup-french-press-coffee-maker-34-oz-black,Bodum Brazil 8-Cup French Press Coffee Maker 34 oz Black,"<p>The <strong>Bodum Brazil 8-Cup French Press Coffee Maker 34 oz Black</strong> from <strong>Bodum</strong> delivers outstanding performance, exceptional reliability, and long-lasting durability.</p><ul><li><strong>Brand:</strong> Bodum</li><li><strong>Model / MPN:</strong> 10938-01</li><li><strong>Condition:</strong> Brand New Authentic</li><li><strong>Category:</strong> Home & Kitchen &ndash; Coffee Makers</li><li><strong>Authentic GTIN / UPC:</strong> 0699965254124</li></ul>",Bodum,Home & Kitchen,"Home & Kitchen, Coffee Makers, Bodum, verified-catalog",TRUE,Title,Default Title,,,,,BOD-10938--1022,450,shopify,50,deny,manual,21.99,25.29,TRUE,TRUE,,,,Bodum Brazil 8-Cup French Press Coffee Maker 34 oz Black | Bodum &ndash; Leafanoo,"Buy authentic Bodum Brazil 8-Cup French Press Coffee Maker 34 oz Black by Bodum at Leafanoo. Fast tracked US shipping, 30-day returns, and guaranteed manufacturer specifications.",Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,,,10938-01,new,active
