id,title,price,brand,gtin,identifier_exists,category,status
LF-5321,Lifetime 15′ x 8′ Shed (Side Entry),899.00 USD,Lifetime,081483001098,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5326,"Gorilla Playsets Mountaineer Treehouse Wooden Swing Set with Tube Slide, Rope Ladder, and Sandbox",899.00 USD,Gorilla Playsets,870780002385,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5555,Backyard Discovery 14' X 10' Somerville Pergola W/ Electric - Dark Walnut DIY,799.00 USD,Backyard Discovery,752113006546,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5330,Backyard Discovery Woodridge Elite Swing Set,799.00 USD,Backyard Discovery,752113881082,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5493,Backyard Discovery Callahan Cedar Wood Outdoor Pergola Swing Bench,1129.00 USD,Backyard Discovery,752113305106,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-5394,ANKER SOLIX F3800 PORTABLE POWER STATION,799.00 USD,Anker,194644192303,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-5556,16 Ft. X 16 Ft. Pacific Douglas Fir Wood Traditional Pergola,5599.00 USD,Leafanoo,708296000239,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9263,ZLINE 36 in. Professional Dual Fuel Range – Fingerprint Resistant Stainless Steel,699.00 USD,ZLINE,48834010846800,yes,Home & Garden,Ready for GMC Approval
LF-5282,"Westinghouse 28,000 Peak Watt Home Backup Portable Generator",899.00 USD,Westinghouse,0850011336601,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-9261,"Mesa Safe Company Gun Safe 22.9 cu ft, Electronic Lock",699.00 USD,Mesa Safe Company,8179320154280,yes,Home & Garden,Ready for GMC Approval
LF-5268,"Cub Cadet Ultima ZT1 54 – 24HP Kohler Zero Turn Mower (54"")",799.00 USD,Cub Cadet,00043033593576,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9312,GENMAX PORTABLE INVERTER GENERATOR 11000W TRI-FUEL,699.00 USD,Genmax,7423326508420,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-9310,GENERAC 8251 GP2500i-2 INVERTER GENERATOR WITH COSENSE,699.00 USD,Generac,6964710999420,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-9309,EGO Power+ Nexus Power Station 120 V 3000 W 3 outlets Power Inverter,699.00 USD,EGO Power+,,no,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-9308,ECOFLOW DELTA 2 MAX 1900 PORTABLE POWER STATION,699.00 USD,EcoFlow,8427831314470,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-5278,RYOBI 48V 42-inch 75 Ah Battery Electric Riding Zero Turn Mower,899.00 USD,Ryobi,046396033482,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9311,Generac 7153 GP3300i Portable Inverter Generator,699.00 USD,Generac,6964710579110,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-9314,PREDATOR 3500 Watt Dual-Fuel SUPER QUIET Inverter Generator,699.00 USD,Predator,1931754580010,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-9329,9.5′ Heavy-Duty Outdoor Porch Swing Set,699.00 USD,Leafanoo,8182002602810,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9316,WESTINGHOUSE iGEN1000S PORTABLE POWER STATION,699.00 USD,Westinghouse,8500113366250,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-9317,"Yard Force Portable Power Station 2400-Watt Continuous 4800-Watt Peak, Bluetooth speaker, WIFI connection, Wireless Charging, RV 30A plug, LED light",699.00 USD,Yard Force,69395007359800,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-9333,Klo Kick Metal Swing Set with 3 Swings,699.00 USD,Klo Kick,84624256248580,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9326,ShelterLogic 15 x 28 x 12 Round Top Shelter,699.00 USD,ShelterLogic,7818802861720,yes,"Home & Garden > Lawn & Garden > Outdoor Living > Outdoor Structures > Sheds, Garages & Carports",Ready for GMC Approval
LF-9330,"440lbs Extra Large Metal Swing Frame with 5 Hanging Hooks, Heavy Duty A-Frame Swing Stand",899.00 USD,Leafanoo,91054590317190,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9363,Lifetime Climb &amp;amp; Slide Playset – Ultimate Backyard Fun for Kids,699.00 USD,Lifetime,6328293035900,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9368,Timber Crossing Swing Set – Adventure Meets Stunning Design,899.00 USD,Leafanoo,7521133003540,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9260,"GE Profile 27.9 cu ft Smart Fingerprint Resistant French Door Refrigerator, Stainless Steel",799.00 USD,GE Profile,48834009963420,yes,Home & Garden,Ready for GMC Approval
LF-9366,Sportspower Alta Oaks 10′ Heavy Duty Swing Set with Lifetime Warranty on 6′ Double Wall Slide,699.00 USD,Lifetime,6870640585520,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9365,"Ranger Retreat Wooden Swing Set/Playset with Tent, Tube Slide and 3-Swings",699.00 USD,Leafanoo,8702790009770,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9370,"9.5′ Heavy Duty Metal Swing Set with Belt Swing, Trapeze Bar",899.00 USD,Leafanoo,68706405328100,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9369,Woodplay Tiger Tower Combo A – Premium Wooden Swing Set for Endless Backyard Fun,899.00 USD,Woodplay,7521130600980,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9373,KidKraft Ridgemoor Perch Swing Set – Endless Outdoor Fun for Kids,899.00 USD,KidKraft,8702790016220,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9307,ECOFLOW DELTA 2 950 WITH 2PCS 110W SOLAR PANEL,699.00 USD,EcoFlow,8427831204890,yes,Hardware > Generators > Portable Generators,Ready for GMC Approval
LF-9374,"Knightsbridge Plus Complete Wooden Outdoor Playset with Monkey Bars, Slide, Rock Wall and Swing Set Accessories",899.00 USD,Leafanoo,328660835450,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9376,"PURPLE LEAF 3-seat Outdoor Patio Porch Swing Adjustable Backrest, Cushions and Pillow Included",899.00 USD,Purple Leaf,6064384139640,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9332,Jack &amp;amp; June Haven Wooden Swing Set,699.00 USD,Leafanoo,7548063277540,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9364,"Outing III Wooden Outdoor Playground with Wood Roof, Monkey Bars, Slide, Swings set, and Backyard Playset Accessories",699.00 USD,Leafanoo,8707800068330,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9331,"Canyon Creek All Cedar Swing Set Playset w/ Rockwall Upper Fort Belt Swings Web Swing Gray Wave Slide, and Play Kitchen",699.00 USD,Leafanoo,7521138930230,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9377,Sports power Vinyl-Covered Wood Swing Set – Classic &amp;amp; Durable for Outdoor Fun,899.00 USD,Leafanoo,8063742233860,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9375,"Lifetime Powder Coated Steel Swing Set with 4 Swing(s) , 1 Slide(s)",899.00 USD,Lifetime,93142026645110,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9382,Cub Cadet Ultima Series ZTS1 46 Zero Turn Lawn Mower,899.00 USD,Cub Cadet,430335982360,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9380,Tucson Swing Set – Big Fun in a Compact Design,899.00 USD,Leafanoo,4678976047400,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9378,Sportspower Super 10 Metal Swing Set with Lifetime Warranty on Blow Molded Slide,899.00 USD,Lifetime,6870640636860,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9367,Sterling Point Swing Set – A Backyard Playground for Endless Adventure,899.00 USD,Leafanoo,7521132002270,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9383,Cub Cadet Ultima ZT2 60 in. 24 HP Gas Zero-Turn Mower,899.00 USD,Cub Cadet,430335974370,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9385,"DR Power Equipment DR Pro MAX 34"" Field and Brush Mower 20 HP Walk-Behind",899.00 USD,DR Power,8435300088830,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Push Lawn Mowers,Ready for GMC Approval
LF-9386,EGO POWER+ 42 in Z6 Zero Turn Mower with e-STEER ZT4205S,799.00 USD,EGO Power+,1955321006770,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9387,Greenworks 60V 30” CrossoverT Riding Lawn Tractor with 8.0 Ah,799.00 USD,Greenworks,1955261431160,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9384,Cub Cadet ZTX6 60 Zero-Turn Mower,899.00 USD,Cub Cadet,430336007000,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9381,Bad Boy Magnum 54 in. 24 HP Gas Zero-Turn Mower,899.00 USD,Bad Boy,8500507726130,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9421,RYOBI 80V HP Brushless 54 in. Battery Electric Cordless Zero Turn Mower &amp;amp; Mulch Kit,799.00 USD,Ryobi,463960506700,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9389,Husqvarna Z248F Special Edition Zero-Turn Mower,799.00 USD,Husqvarna,1930287129220,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9379,"Swing Sets with Saucer Swing,Belt Swing,Trapeze Bar,Climbing Rope,Climbing Ladder",899.00 USD,Leafanoo,7393191298730,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9390,John Deere S120 Mower 42 in. 22 HP V-Twin Gas Hydrostatic Riding Lawn Mower,799.00 USD,John Deere,8898180266820,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9422,Troy bilt Mustang Z50 Zero-Turn Mower,799.00 USD,Leafanoo,430336009770,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9424,Handy Home Windemere 10x12 Storage Shed,799.00 USD,Handy Home,953171948180,yes,"Home & Garden > Lawn & Garden > Outdoor Living > Outdoor Structures > Sheds, Garages & Carports",Ready for GMC Approval
LF-9388,EGO Power+ 52 in Z6 Zero-Turn Riding Mower Kit,799.00 USD,EGO Power+,6920420147890,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9371,"660lbs Heavy Duty Swing Set With 1 Platform Swing, 2 Belt Swings",899.00 USD,Leafanoo,7620223728540,yes,Toys & Games > Outdoor Play Equipment > Play Sets & Playground Equipment > Swing Sets,Ready for GMC Approval
LF-9428,Ridgedale 8 Ft. X 8 Ft. White Steel Modern Cabana Pergola with Conversation Seating in Pumice,799.00 USD,Leafanoo,7521131926380,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9430,Backyard Discovery Sarasota Galvanized Steel Louvered Pergola,799.00 USD,Backyard Discovery,7521134971460,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9429,Stratford 12 Ft. X 10 Ft. Black Steel Traditional Pergola with Sail Shade Soft Canopy,799.00 USD,Leafanoo,7521131950800,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9427,Stratford 16 Ft. X 12 Ft. Black Steel Traditional Pergola with Sail Shade Soft Canopy,799.00 USD,Leafanoo,7521131950280,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9432,Backyard Discovery Sarasota 16'x10' Galvanized Steel Louvered Pergola,799.00 USD,Backyard Discovery,7521133951140,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9431,Creekvine Designs Red Cedar Monterrey Pergola,799.00 USD,Creekvine Designs,6593597114350,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9391,RYOBI 80V HP Brushless 30 in. Battery Electric Cordless Zero Turn Mower with 80V 10 Ah Batteries,799.00 USD,Ryobi,463960468950,yes,Home & Garden > Lawn & Garden > Outdoor Power Equipment > Lawn Mowers > Riding Lawn Mowers,Ready for GMC Approval
LF-9437,9000 LB Baseplate 2-Post Lift – Atlas 9KBPX,799.00 USD,Atlas,7240863839930,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9433,Beaumont 20 ft. x 12 ft. Light Brown Traditional Outdoor All Cedar Wood Patio Pergola Shade Structure with Electric,699.00 USD,Leafanoo,7521131915700,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9439,Atlas Automotive Equipment Atlas Equipment Garage PRO8000EXT Extra Tall Portable Hobbyist 8 000 Lb. Capacity 4-Post Lift,699.00 USD,Atlas Automotive Equipment,8105240201520,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9442,"ndPak LR-60P Portable Low-Rise Lift – 6,000 lb. Capacity",699.00 USD,Leafanoo,768120851150,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9425,Yardistry 10 x 22 Meridian Pergola,799.00 USD,Yardistry,6282221193260,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9434,10 Ft. X 14 Ft. Traditional All Cedar Wood Outdoor Patio Pergola Shade Structure,799.00 USD,Leafanoo,7521138925140,yes,Home & Garden > Lawn & Garden > Outdoor Living,Ready for GMC Approval
LF-9445,"5,000 LB Adjustable Car Lift with Remote Control – Perfect for Home Garages",899.00 USD,Leafanoo,1979888394390,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9443,"BendPak MD-6XP Mid-Rise Scissor Lift – 6,000 lb. Capacity",699.00 USD,BendPak,8496720012940,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9446,Atlas Automotive Equipment Atlas Equipment BP10000X Commercial Grade Baseplate 10 000 Lb. Capacity 2-Post Lift,699.00 USD,Atlas Automotive Equipment,8105240288200,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9448,APlusLift HW-10KOH-A 10000LB Two Post Overhead Clear Floor Car Lift/Industry Leading 3 Year Warranty,699.00 USD,AplusLift,7931503205850,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9440,"P-9000LT Low-Rise Pit-Style Lift – 9,000 lb. Capacity",699.00 USD,Leafanoo,8496720158640,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9444,"BendPak MDS-6LP Mid-Rise Open-Center Lift 6,000-lb. Capacity / Mid-Rise Scissor Lift / Open-Center",699.00 USD,BendPak,8496720048680,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9478,1.5 HP Tire Changer Wheel Balancer Machine Combo Rim Clamp 14″-28″,699.00 USD,Leafanoo,7225122126020,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9438,"BendPak P-9000LTF Flush-Mount Low-Rise Pit-Style Lift – 9,000 lb. Capacity",699.00 USD,BendPak,8496720158710,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9476,"D2-10C - 10,000lb Capacity - Symmetric Two Post Car/SUV/Truck/Vehicle/Automobile Lift - Home/Shop/Garage/Mechanic Use",799.00 USD,Leafanoo,8496720233950,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9484,Aventon - Level.2 Commuter Step-Through EBike W/ up to 60 Miles Max Operating Range and 28 MPH Max Speed – Medium/Large,799.00 USD,Aventon,6608459549220,yes,Sporting Goods > Outdoor Recreation > Cycling > Bicycles > Electric Bicycles,Ready for GMC Approval
LF-9479,Super73 Oracle Red Bull Racing R Adventure Series Electric Bike,899.00 USD,Super73,8100934641280,yes,Sporting Goods > Outdoor Recreation > Cycling > Bicycles > Electric Bicycles,Ready for GMC Approval
LF-9483,"LEONX Aipas M2 Electric Mountain Bike – 1500W, 30MPH, 26″ Fat Tires",799.00 USD,Leonx,,no,Sporting Goods > Outdoor Recreation > Cycling > Bicycles > Electric Bicycles,Ready for GMC Approval
LF-9482,Folding Ebikes for Adults Ridstar 750W Motor 48V 14AH Removable Battery 20 X 4.0 Fat Tire Shimano 7-Speed 19.8MPH Electric Bike,899.00 USD,Mova,7310529050730,yes,Sporting Goods > Outdoor Recreation > Cycling > Bicycles > Electric Bicycles,Ready for GMC Approval
LF-9447,MaxJax M7K Portable Two-Post Lift,699.00 USD,MaxJax,8496720233190,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9485,Alpinestars Supertech R10 Element ECE 06 / FIM Full Face Helmet Gloss Black / Carbon / Silver,899.00 USD,Leafanoo,80593473763180,yes,Sporting Goods > Outdoor Recreation > Cycling > Bicycles > Electric Bicycles,Ready for GMC Approval
LF-9477,"Atlas Automotive Equipment PV12PX Commercial Grade Overhead 2-Post Lift 12,000 lb. Capacity",699.00 USD,Atlas Automotive Equipment,768120853200,yes,Vehicles & Parts > Automotive Operating Systems > Automotive Lifts & Cranes,Ready for GMC Approval
LF-9491,Aventon Aventure 2 – Electric Fat Tire Bike for Every Adventure,799.00 USD,Aventon,6608459491190,yes,Sporting Goods > Outdoor Recreation > Cycling > Bicycles > Electric Bicycles,Ready for GMC Approval
LF-9480,Super73 Oracle Red Bull Racing Z Adventure Series Electric Bike,899.00 USD,Super73,8100934641350,yes,Sporting Goods > Outdoor Recreation > Cycling > Bicycles > Electric Bicycles,Ready for GMC Approval
